tag,severity,type,μ_cluster_0,μ_cluster_1,cluster_fuzzy
Falla_Cierre_Valvula_Suministro_T0,Critico,HR,0.2708159033058501,0.72918409669415,μ_cluster_1
Nivel_T0_Critico,Critico,IR,0.39497291189185674,0.6050270881081432,μ_cluster_1
Flujo_T0_SinSalida,Critico,IR,0.24289849911659459,0.7571015008834053,μ_cluster_1
Proteccion_Valvula_Salida_T0,Critico,HR,0.0822150083664235,0.9177849916335765,μ_cluster_1
Nivel_T1_Critico,Critico,IR,0.3788432337184185,0.6211567662815816,μ_cluster_1
Proteccion_Valvula_Salida_T1,Critico,HR,0.07924440548944153,0.9207555945105584,μ_cluster_1
Nivel_T2_Critico,Critico,IR,0.37418229388114344,0.6258177061188566,μ_cluster_1
Proteccion_Valvula_Salida_T2,Critico,HR,0.122430429546021,0.8775695704539789,μ_cluster_1
Parada_Linea_1_Actuadores_T1,Critico,CO,0.05977840019042921,0.9402215998095709,μ_cluster_1
Parada_Linea_2_Actuadores_T2,Critico,CO,0.10878911871702403,0.891210881282976,μ_cluster_1
Nivel_T0_Inicial,Alta,IR,0.7436238635628413,0.2563761364371587,μ_cluster_0
Flujo_T0_Bajo,Alta,IR,0.7335722252142268,0.2664277747857732,μ_cluster_0
Nivel_T1_Inicial,Alta,IR,0.7164540006793104,0.28354599932068963,μ_cluster_0
Nivel_T2_Inicial,Alta,IR,0.6562216132019467,0.3437783867980534,μ_cluster_0
Nivel_T0_Alto,Media,IR,0.9069752629433893,0.09302473705661074,μ_cluster_0
Flujo_T0_Irregular,Media,IR,0.7778547334963007,0.22214526650369928,μ_cluster_0
Vibracion_Bomba_T1,Media,HR,0.5069193086306226,0.4930806913693774,μ_cluster_0
Temperatura_Ambiente_Alta,Baja,IR,0.7430565130263689,0.25694348697363123,μ_cluster_0
Mantenimiento_Pendiente_Valvula_T2,Baja,CO,0.5841434786230671,0.4158565213769329,μ_cluster_0
Registro_Energia_Alto,Baja,HR,0.776900522963517,0.22309947703648303,μ_cluster_0
